# FEN	d4move	d6move  (cref_mos = exact 6502 config; regenerate with gen_golden.py)
r4rk1/8/P4bp1/3pp2p/5n2/5P2/8/6K1 w - - 3 52	a6a7	g1f2
r1b1k1nr/pp1n1pbp/8/2Ppp3/1PP2PpP/P7/4P1P1/RNBK1BNR w kq - 0 11	c4d5	c4d5
8/8/5N2/3R4/pk6/1P2K3/P7/8 w - - 0 52	b3a4	d5d4
1r1r2k1/3p2p1/2p1nb2/p4p2/2PP1PpP/P7/3K4/4R3 w - - 0 33	h4h5	a3a4
3q1rk1/p4b1p/5bp1/2rp1p2/P3nP2/3B1NP1/1BQ4P/3NRRK1 w - - 0 27	c2b3	c2b3
r3r1k1/qp1b2pn/2pb1pN1/3p3B/n2P4/PN2P2P/1P3PP1/R1B2RK1 w - - 1 20	h5e2	b3d2
7R/8/8/8/8/8/1K6/5k2 w - - 11 86	h8h2	h8h7
5R2/8/3p4/8/8/4k3/1B6/3K4 w - - 20 65	b2a1	d1c2
8/6K1/4k3/8/8/8/p7/8 w - - 20 75	g7h8	g7h8
3r2nr/bppqkpp1/4p1np/p3P3/4NBPP/P1P3Q1/1P6/R3KR2 w Q - 4 20	h4h5	h4h5
B1bqk3/2pnnpb1/p3p1p1/3p2Br/P7/5N1P/1P2QP2/RN2K2R w KQ - 0 16	a8c6	a4a5
r2qkb1r/3p2p1/npb1p3/p6p/P2P1Pn1/2P2N2/1P2P1PP/R1B1KBNR w KQkq - 2 13	h2h3	h2h3
r2qkb1r/3nnpp1/2p1p3/pp4P1/8/1P3NN1/1BQPPP2/R3KB2 w Qkq - 1 17	d2d4	d2d4
2kr1b1r/ppp1ppp1/n3b2p/3n3P/8/6P1/PPN1PPBR/R1B1K1N1 w Q - 2 13	h2h4	c2d4
r2qkbnr/1bpp2p1/p3p3/1p4PP/1n6/4P3/PBPPQ2P/RN2KBR1 w Qkq - 0 12	d2d4	d2d4
r4rk1/p1pnbpp1/Qp2pn2/1P1p3p/8/P3P1PB/4KP1q/R1B5 w - - 0 21	a6b7	a6b7
r1b4r/p1p5/2p2nk1/2bpppNp/6p1/1QPP2P1/P2BPPBP/R3KR2 w Q - 2 18	b3a4	c3c4
r1bq1bnr/pp2pk2/n1p5/3p1p2/3P4/1P1QP1P1/P1P3BP/RN2K1R1 w - - 0 15	h2h4	h2h3
